# Time_s,Vt_V,T_bat1_K,T_bat2_K,T_bat3_K,T_bat4_K,T_bat5_K,T_bat6_K,T_bat7_K,T_bat8_K,SOC_bat1,SOC_bat2,SOC_bat3,SOC_bat4,SOC_bat5,SOC_bat6,SOC_bat7,SOC_bat8
0.000000,25.199901,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10.000000,25.105973,298.159676,298.159678,298.159678,298.159676,298.159676,298.159678,298.159678,298.159676,0.998231,0.998231,0.998231,0.998231,0.998231,0.998231,0.998231,0.998231
20.000000,25.042415,298.171863,298.171869,298.171869,298.171863,298.171863,298.171869,298.171869,298.171863,0.996461,0.996461,0.996461,0.996461,0.996461,0.996461,0.996461,0.996461
30.000000,24.983891,298.186339,298.186355,298.186355,298.186339,298.186339,298.186355,298.186355,298.186339,0.994692,0.994692,0.994692,0.994692,0.994692,0.994692,0.994692,0.994692
40.000000,24.929936,298.202904,298.202933,298.202933,298.202904,298.202904,298.202933,298.202933,298.202904,0.992923,0.992923,0.992923,0.992923,0.992923,0.992923,0.992923,0.992923
50.000000,24.880128,298.221376,298.221424,298.221424,298.221376,298.221376,298.221424,298.221424,298.221376,0.991154,0.991154,0.991154,0.991154,0.991154,0.991154,0.991154,0.991154
60.000000,24.834099,298.241589,298.241661,298.241661,298.241589,298.241589,298.241661,298.241661,298.241589,0.989384,0.989384,0.989384,0.989384,0.989384,0.989384,0.989384,0.989384
70.000000,24.791528,298.263392,298.263496,298.263496,298.263392,298.263392,298.263496,298.263496,298.263392,0.987615,0.987615,0.987615,0.987615,0.987615,0.987615,0.987615,0.987615
80.000000,24.752057,298.286651,298.286792,298.286792,298.286651,298.286651,298.286792,298.286792,298.286651,0.985846,0.985846,0.985846,0.985846,0.985846,0.985846,0.985846,0.985846
90.000000,24.715399,298.311240,298.311426,298.311426,298.311240,298.311240,298.311426,298.311426,298.311240,0.984076,0.984076,0.984076,0.984076,0.984076,0.984076,0.984076,0.984076
100.000000,24.681293,298.337049,298.337287,298.337287,298.337049,298.337049,298.337287,298.337287,298.337049,0.982307,0.982307,0.982307,0.982307,0.982307,0.982307,0.982307,0.982307
110.000000,24.649503,298.363974,298.364272,298.364272,298.363974,298.363974,298.364272,298.364272,298.363974,0.980538,0.980538,0.980538,0.980538,0.980538,0.980538,0.980538,0.980538
120.000000,24.619854,298.391924,298.392290,298.392290,298.391924,298.391924,298.392290,298.392290,298.391924,0.978769,0.978769,0.978769,0.978769,0.978769,0.978769,0.978769,0.978769
130.000000,24.592139,298.420814,298.421257,298.421257,298.420814,298.420814,298.421257,298.421257,298.420814,0.976999,0.976999,0.976999,0.976999,0.976999,0.976999,0.976999,0.976999
140.000000,24.566154,298.450570,298.451097,298.451097,298.450570,298.450570,298.451097,298.451097,298.450570,0.975230,0.975230,0.975230,0.975230,0.975230,0.975230,0.975230,0.975230
150.000000,24.541740,298.481121,298.481741,298.481741,298.481121,298.481121,298.481741,298.481741,298.481121,0.973461,0.973461,0.973461,0.973461,0.973461,0.973461,0.973461,0.973461
160.000000,24.518752,298.512404,298.513128,298.513128,298.512404,298.512404,298.513128,298.513128,298.512404,0.971691,0.971691,0.971691,0.971691,0.971691,0.971691,0.971691,0.971691
170.000000,24.497057,298.544364,298.545199,298.545199,298.544364,298.544364,298.545199,298.545199,298.544364,0.969922,0.969922,0.969922,0.969922,0.969922,0.969922,0.969922,0.969922
180.000000,24.476605,298.576948,298.577904,298.577904,298.576948,298.576948,298.577904,298.577904,298.576948,0.968153,0.968153,0.968153,0.968153,0.968153,0.968153,0.968153,0.968153
190.000000,24.457221,298.610109,298.611195,298.611195,298.610109,298.610109,298.611195,298.611195,298.610109,0.966384,0.966384,0.966384,0.966384,0.966384,0.966384,0.966384,0.966384
200.000000,24.438805,298.643805,298.645031,298.645031,298.643805,298.643805,298.645031,298.645031,298.643805,0.964614,0.964614,0.964614,0.964614,0.964614,0.964614,0.964614,0.964614
210.000000,24.421267,298.677997,298.679373,298.679373,298.677997,298.677997,298.679373,298.679373,298.677997,0.962845,0.962845,0.962845,0.962845,0.962845,0.962845,0.962845,0.962845
220.000000,24.404526,298.712651,298.714186,298.714186,298.712651,298.712651,298.714186,298.714186,298.712651,0.961076,0.961076,0.961076,0.961076,0.961076,0.961076,0.961076,0.961076
