# Time_s,Vt_V,T_bat1_K,T_bat2_K,T_bat3_K,T_bat4_K,T_bat5_K,T_bat6_K,T_bat7_K,T_bat8_K,SOC_bat1,SOC_bat2,SOC_bat3,SOC_bat4,SOC_bat5,SOC_bat6,SOC_bat7,SOC_bat8
0.000000,25.337501,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
120.000000,24.897994,298.253139,298.254495,298.254495,298.254495,298.254495,298.254495,298.254495,298.253075,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333
240.000000,24.718332,298.434235,298.441570,298.441570,298.441570,298.441570,298.441570,298.441570,298.433901,0.966667,0.966667,0.966667,0.966667,0.966667,0.966667,0.966667,0.966667
360.000000,24.619001,298.633593,298.652175,298.652173,298.652173,298.652173,298.652173,298.652175,298.632785,0.950000,0.950000,0.950000,0.950000,0.950000,0.950000,0.950000,0.950000
480.000000,24.546181,298.833142,298.867773,298.867765,298.867765,298.867765,298.867765,298.867774,298.831697,0.933333,0.933333,0.933333,0.933333,0.933333,0.933333,0.933333,0.933333
600.000000,24.482721,299.027805,299.082629,299.082610,299.082610,299.082610,299.082610,299.082630,299.025604,0.916667,0.916667,0.916667,0.916667,0.916667,0.916667,0.916667,0.916667
720.000000,24.423326,299.216499,299.295052,299.295015,299.295015,299.295015,299.295015,299.295053,299.213458,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000
840.000000,24.366606,299.399320,299.504618,299.504558,299.504558,299.504558,299.504558,299.504620,299.395378,0.883333,0.883333,0.883333,0.883333,0.883333,0.883333,0.883333,0.883333
960.000000,24.311954,299.576668,299.711298,299.711212,299.711212,299.711212,299.711212,299.711301,299.571785,0.866667,0.866667,0.866667,0.866667,0.866667,0.866667,0.866667,0.866667
1080.000000,24.259334,299.748992,299.915177,299.915064,299.915064,299.915064,299.915064,299.915181,299.743137,0.850000,0.850000,0.850000,0.850000,0.850000,0.850000,0.850000,0.850000
1200.000000,24.209027,299.916712,300.116368,300.116235,300.116235,300.116235,300.116235,300.116373,299.909865,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333
1320.000000,24.160875,300.080209,300.314989,300.314848,300.314848,300.314848,300.314848,300.314993,300.072357,0.816667,0.816667,0.816667,0.816667,0.816667,0.816667,0.816667,0.816667
1440.000000,24.114966,300.239821,300.511150,300.511022,300.511022,300.511022,300.511022,300.511154,300.230957,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000
1560.000000,24.071606,300.395856,300.704960,300.704871,300.704871,300.704871,300.704871,300.704961,300.385975,0.783333,0.783333,0.783333,0.783333,0.783333,0.783333,0.783333,0.783333
1680.000000,24.030567,300.548586,300.896516,300.896502,300.896502,300.896502,300.896502,300.896514,300.537688,0.766667,0.766667,0.766667,0.766667,0.766667,0.766667,0.766667,0.766667
1800.000000,23.991895,300.698260,301.085914,301.086019,301.086019,301.086019,301.086019,301.085908,300.686347,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000
1920.000000,23.955834,300.845104,301.273244,301.273518,301.273517,301.273517,301.273518,301.273231,300.832179,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333
2040.000000,23.922088,300.989322,301.458591,301.459090,301.459090,301.459090,301.459090,301.458569,300.975390,0.716667,0.716667,0.716667,0.716667,0.716667,0.716667,0.716667,0.716667
2160.000000,23.890641,301.131101,301.642035,301.642824,301.642823,301.642823,301.642824,301.642003,301.116168,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000
2280.000000,23.861654,301.270613,301.823655,301.824802,301.824800,301.824800,301.824802,301.823610,301.254686,0.683333,0.683333,0.683333,0.683333,0.683333,0.683333,0.683333,0.683333
2400.000000,23.834774,301.408014,302.003525,302.005102,302.005100,302.005100,302.005102,302.003466,301.391100,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667
2520.000000,23.809920,301.543449,302.181717,302.183801,302.183799,302.183799,302.183801,302.181641,301.525556,0.650000,0.650000,0.650000,0.650000,0.650000,0.650000,0.650000,0.650000
2640.000000,23.787139,301.677050,302.358298,302.360969,302.360966,302.360966,302.360969,302.358203,301.658186,0.633333,0.633333,0.633333,0.633333,0.633333,0.633333,0.633333,0.633333
2760.000000,23.766046,301.808939,302.533336,302.536674,302.536671,302.536671,302.536675,302.533219,301.789112,0.616667,0.616667,0.616667,0.616667,0.616667,0.616667,0.616667,0.616667
2880.000000,23.746482,301.939230,302.706892,302.710982,302.710978,302.710978,302.710982,302.706753,301.918446,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000
