# Time_s,Vt_V,T_bat1_K,T_bat2_K,T_bat3_K,T_bat4_K,T_bat5_K,T_bat6_K,T_bat7_K,T_bat8_K,SOC_bat1,SOC_bat2,SOC_bat3,SOC_bat4,SOC_bat5,SOC_bat6,SOC_bat7,SOC_bat8
0.000000,24.835101,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
120.000000,23.867296,298.990266,298.995139,298.995139,298.990266,298.990266,298.995139,298.995139,298.990266,0.966667,0.966667,0.966667,0.966667,0.966667,0.966667,0.966667,0.966667
240.000000,23.426171,300.211366,300.234538,300.234538,300.211366,300.211366,300.234538,300.234538,300.211366,0.933333,0.933333,0.933333,0.933333,0.933333,0.933333,0.933333,0.933333
360.000000,23.133732,301.595720,301.653351,301.653351,301.595720,301.595720,301.653351,301.653351,301.595720,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000
480.000000,22.889712,303.076720,303.186111,303.186111,303.076720,303.076720,303.186111,303.186111,303.076720,0.866667,0.866667,0.866667,0.866667,0.866667,0.866667,0.866667,0.866667
600.000000,22.661941,304.635718,304.814895,304.814895,304.635718,304.635718,304.814895,304.814895,304.635718,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333
720.000000,22.439607,306.269985,306.537665,306.537665,306.269985,306.269985,306.537665,306.537665,306.269985,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000
840.000000,22.218796,307.982535,308.358246,308.358246,307.982535,307.982535,308.358246,308.358246,307.982535,0.766667,0.766667,0.766667,0.766667,0.766667,0.766667,0.766667,0.766667
960.000000,21.997034,309.778852,310.283106,310.283106,309.778852,309.778852,310.283106,310.283106,309.778852,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333,0.733333
1080.000000,21.772272,311.665846,312.320368,312.320368,311.665846,311.665846,312.320368,312.320368,311.665846,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000
1200.000000,21.542443,313.651576,314.479570,314.479570,313.651576,313.651576,314.479570,314.479570,313.651576,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667
1320.000000,21.304499,315.745258,316.771727,316.771727,315.745258,315.745258,316.771727,316.771727,315.745258,0.633333,0.633333,0.633333,0.633333,0.633333,0.633333,0.633333,0.633333
1440.000000,21.054877,317.957399,319.209518,319.209518,317.957399,317.957399,319.209518,319.209518,317.957399,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000
1560.000000,20.789338,320.299999,321.807572,321.807572,320.299999,320.299999,321.807572,321.807572,320.299999,0.566667,0.566667,0.566667,0.566667,0.566667,0.566667,0.566667,0.566667
1680.000000,20.502400,322.786823,324.582831,324.582831,322.786823,322.786823,324.582831,324.582831,322.786823,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333
1800.000000,20.187543,325.433741,327.555016,327.555016,325.433741,325.433741,327.555016,327.555016,325.433741,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
1920.000000,19.836629,328.259157,330.747217,330.747217,328.259157,328.259157,330.747217,330.747217,328.259157,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667
2040.000000,19.439663,331.284547,334.186640,334.186640,331.284547,331.284547,334.186640,334.186640,331.284547,0.433333,0.433333,0.433333,0.433333,0.433333,0.433333,0.433333,0.433333
2160.000000,18.984183,334.535143,337.905574,337.905574,334.535143,334.535143,337.905574,337.905574,334.535143,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
2280.000000,18.453602,338.040814,341.942648,341.942648,338.040814,338.040814,341.942648,341.942648,338.040814,0.366667,0.366667,0.366667,0.366667,0.366667,0.366667,0.366667,0.366667
2400.000000,17.827564,341.837206,346.344488,346.344488,341.837206,341.837206,346.344488,346.344488,341.837206,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2520.000000,17.079713,345.967248,351.167939,351.167939,345.967248,345.967248,351.167939,351.167939,345.967248,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
