# Time_s,Vt_V,T_bat1_K,T_bat2_K,T_bat3_K,T_bat4_K,T_bat5_K,T_bat6_K,T_bat7_K,T_bat8_K,SOC_bat1,SOC_bat2,SOC_bat3,SOC_bat4,SOC_bat5,SOC_bat6,SOC_bat7,SOC_bat8
0.000000,25.199901,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,298.150000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
120.000000,24.623008,298.367777,298.388467,298.388467,298.367777,298.367777,298.388467,298.388467,298.367777,0.978769,0.978769,0.978769,0.978769,0.978769,0.978769,0.978769,0.978769
240.000000,24.376651,298.655587,298.749985,298.749985,298.655587,298.655587,298.749985,298.749985,298.655587,0.957537,0.957537,0.957537,0.957537,0.957537,0.957537,0.957537,0.957537
360.000000,24.230977,298.918961,299.134816,299.134816,298.918961,298.918961,299.134816,299.134816,298.918961,0.936306,0.936306,0.936306,0.936306,0.936306,0.936306,0.936306,0.936306
480.000000,24.119786,299.140940,299.511951,299.511951,299.140940,299.140940,299.511951,299.511951,299.140940,0.915074,0.915074,0.915074,0.915074,0.915074,0.915074,0.915074,0.915074
600.000000,24.022254,299.325249,299.872244,299.872244,299.325249,299.325249,299.872244,299.872244,299.325249,0.893843,0.893843,0.893843,0.893843,0.893843,0.893843,0.893843,0.893843
720.000000,23.931788,299.479601,300.213656,300.213656,299.479601,299.479601,300.213656,300.213656,299.479601,0.872611,0.872611,0.872611,0.872611,0.872611,0.872611,0.872611,0.872611
840.000000,23.846330,299.611167,300.536519,300.536519,299.611167,299.611167,300.536519,300.536519,299.611167,0.851380,0.851380,0.851380,0.851380,0.851380,0.851380,0.851380,0.851380
960.000000,23.765275,299.725644,300.841952,300.841952,299.725644,299.725644,300.841952,300.841952,299.725644,0.830149,0.830149,0.830149,0.830149,0.830149,0.830149,0.830149,0.830149
1080.000000,23.688544,299.827324,301.131315,301.131315,299.827324,299.827324,301.131315,301.131315,299.827324,0.808917,0.808917,0.808917,0.808917,0.808917,0.808917,0.808917,0.808917
