# Time_s,Pack_V,Pack_I_A,I_branchA,I_branchB,Circulation_A,SocA,SocB
0.000000,25.199901,200.000000,200.000000,0.000000,-100.000000,1.000000,1.000000
1.000000,25.199901,200.000000,200.000000,0.000000,-100.000000,0.999823,1.000000
2.000000,25.160802,200.000000,200.000000,0.000000,-100.000000,0.999646,1.000000
3.000000,25.153762,200.000000,200.000000,0.000000,-100.000000,0.999469,1.000000
4.000000,25.146782,200.000000,200.000000,0.000000,-100.000000,0.999292,1.000000
5.000000,25.139862,200.000000,200.000000,0.000000,-100.000000,0.999115,1.000000
6.000000,25.133000,200.000000,200.000000,0.000000,-100.000000,0.998938,1.000000
7.000000,25.126196,200.000000,200.000000,0.000000,-100.000000,0.998762,1.000000
8.000000,25.119450,200.000000,200.000000,0.000000,-100.000000,0.998585,1.000000
9.000000,25.112761,200.000000,200.000000,0.000000,-100.000000,0.998408,1.000000
10.000000,25.106128,200.000000,200.000000,0.000000,-100.000000,0.998231,1.000000
11.000000,25.099551,200.000000,200.000000,0.000000,-100.000000,0.998054,1.000000
12.000000,25.093029,200.000000,200.000000,0.000000,-100.000000,0.997877,1.000000
13.000000,25.086563,200.000000,200.000000,0.000000,-100.000000,0.997700,1.000000
14.000000,25.080150,200.000000,200.000000,0.000000,-100.000000,0.997523,1.000000
15.000000,25.073792,200.000000,200.000000,0.000000,-100.000000,0.997346,1.000000
16.000000,25.067486,200.000000,200.000000,0.000000,-100.000000,0.997169,1.000000
17.000000,25.061234,200.000000,200.000000,0.000000,-100.000000,0.996992,1.000000
18.000000,25.055033,200.000000,200.000000,0.000000,-100.000000,0.996815,1.000000
19.000000,25.048885,200.000000,200.000000,0.000000,-100.000000,0.996638,1.000000
20.000000,25.042788,200.000000,200.000000,0.000000,-100.000000,0.996461,1.000000
21.000000,25.036741,200.000000,200.000000,0.000000,-100.000000,0.996285,1.000000
22.000000,25.030745,200.000000,200.000000,0.000000,-100.000000,0.996108,1.000000
23.000000,25.024798,200.000000,200.000000,0.000000,-100.000000,0.995931,1.000000
24.000000,25.018901,200.000000,200.000000,0.000000,-100.000000,0.995754,1.000000
25.000000,25.013053,200.000000,200.000000,0.000000,-100.000000,0.995577,1.000000
26.000000,25.007253,200.000000,200.000000,0.000000,-100.000000,0.995400,1.000000
27.000000,25.001501,200.000000,200.000000,0.000000,-100.000000,0.995223,1.000000
28.000000,24.995797,200.000000,200.000000,0.000000,-100.000000,0.995046,1.000000
29.000000,24.990139,200.000000,200.000000,0.000000,-100.000000,0.994869,1.000000
30.000000,24.984528,200.000000,200.000000,0.000000,-100.000000,0.994692,1.000000
31.000000,24.978963,200.000000,200.000000,0.000000,-100.000000,0.994515,1.000000
32.000000,24.973444,200.000000,200.000000,0.000000,-100.000000,0.994338,1.000000
33.000000,24.967970,200.000000,200.000000,0.000000,-100.000000,0.994161,1.000000
34.000000,24.962541,200.000000,200.000000,0.000000,-100.000000,0.993984,1.000000
35.000000,24.957157,200.000000,200.000000,0.000000,-100.000000,0.993808,1.000000
36.000000,24.951816,200.000000,200.000000,0.000000,-100.000000,0.993631,1.000000
37.000000,24.946519,200.000000,200.000000,0.000000,-100.000000,0.993454,1.000000
38.000000,24.941265,200.000000,200.000000,0.000000,-100.000000,0.993277,1.000000
39.000000,24.936053,200.000000,200.000000,0.000000,-100.000000,0.993100,1.000000
40.000000,24.930884,200.000000,200.000000,0.000000,-100.000000,0.992923,1.000000
41.000000,24.925757,200.000000,200.000000,0.000000,-100.000000,0.992746,1.000000
42.000000,24.920671,200.000000,200.000000,0.000000,-100.000000,0.992569,1.000000
43.000000,24.915627,200.000000,200.000000,0.000000,-100.000000,0.992392,1.000000
44.000000,24.910623,200.000000,200.000000,0.000000,-100.000000,0.992215,1.000000
45.000000,24.905659,200.000000,200.000000,0.000000,-100.000000,0.992038,1.000000
46.000000,24.900736,200.000000,200.000000,0.000000,-100.000000,0.991861,1.000000
47.000000,24.895851,200.000000,200.000000,0.000000,-100.000000,0.991684,1.000000
48.000000,24.891006,200.000000,200.000000,0.000000,-100.000000,0.991507,1.000000
49.000000,24.886200,200.000000,200.000000,0.000000,-100.000000,0.991331,1.000000
50.000000,24.881433,200.000000,200.000000,0.000000,-100.000000,0.991154,1.000000
51.000000,24.876703,200.000000,200.000000,0.000000,-100.000000,0.990977,1.000000
52.000000,24.872011,200.000000,200.000000,0.000000,-100.000000,0.990800,1.000000
53.000000,24.867356,200.000000,200.000000,0.000000,-100.000000,0.990623,1.000000
